姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
蔡金晏,3,男,1978,中國國民黨,17582,18.43%,*,是
蔡信典,4,男,1953,無黨籍及未經政黨推薦,7901,24.27%,*,否
蔡春生,6,男,1954,中國國民黨,2163,13.26%,*,是
蔡秋敏,14,女,1961,民主進步黨,6925,8.41%,*,是
蔡秋蘭,5,女,1958,民主進步黨,15228,24.89%,*,是
蔡啟塔,2,男,1958,中國國民黨,6622,15.21%,*,否
蔡淑君,13,女,1970,中國國民黨,29373,9.62%,*,是
蔡淑惠,1,女,1967,中國國民黨,15012,22.56%,*,是
蔡貴絲,16,女,1956,中國國民黨,6190,8.68%,*,是
蔡雅玲,4,女,1977,民主進步黨,19442,14.51%,*,是
蔡黃隆,16,男,1961,中國國民黨,18609,6.11%,*,否
蔡瑋傑,2,男,1978,民主進步黨,8225,25.27%,*,否
蔡葉偉,5,男,1954,中國國民黨,16421,15.05%,*,否
蔡鼎三,6,男,1961,民主進步黨,8276,15.15%,*,是
蔡榮豐,16,男,1956,無黨籍及未經政黨推薦,4548,5.67%,*,是
蔡豪,15,男,1958,無黨籍及未經政黨推薦,7436,7.27%,*,否
蔡適應,8,男,1973,民主進步黨,7010,17.62%,*,是
蔡錕鈺,3,男,1968,無黨籍及未經政黨推薦,4494,9.32%,*,是
蔡錦賢,4,男,1949,無黨籍及未經政黨推薦,20167,18.48%,*,是
蔡蘇秋金,2,女,1961,民主進步黨,14932,24.41%,*,是
蔣月惠,1,女,1959,無黨籍及未經政黨推薦,4792,4.64%,*,否
蔣家煌,7,男,1962,無黨籍及未經政黨推薦,7877,7.62%,*,是
蔣根煌,10,男,1963,中國國民黨,22188,7.26%,*,是
鄧仁艾,3,男,1956,中國國民黨,7389,9.98%,*,否
鄭功進,2,男,1961,民主進步黨,15035,14.37%,*,否
鄭正宗,5,男,1948,民主進步黨,4730,29.60%,*,是
鄭正鈐,11,男,1969,中國國民黨,4096,6.36%,*,是
鄭光宏,18,男,1979,中國國民黨,4947,6.17%,*,否
鄭光峰,3,男,1966,民主進步黨,16887,9.27%,*,是
鄭宇恩,3,女,1986,民主進步黨,31928,29.26%,*,否
鄭成光,1,男,1949,中國國民黨,4804,12.90%,*,是
鄭宏輝,19,男,1969,民主進步黨,5707,8.86%,*,是
鄭林清良,7,女,1948,中國國民黨,4647,11.68%,*,是
鄭金隆,3,男,1955,民主進步黨,20694,7.10%,*,是
鄭俊亨,3,男,1946,中國國民黨,4053,5.68%,*,是
鄭玲惠,7,女,1961,無黨籍及未經政黨推薦,5985,11.44%,*,是
鄭秋風,14,男,1958,中國國民黨,5850,8.04%,*,是
鄭美琴,11,女,1954,無黨籍及未經政黨推薦,3733,5.35%,*,是
鄭乾龍,6,男,1964,民主進步黨,5499,11.34%,*,否
鄭清發,14,男,1958,中國國民黨,2305,8.13%,*,是
鄭清漢,1,男,1959,中國國民黨,4980,17.36%,*,是
鄭貴元,5,男,1952,民主進步黨,3687,5.72%,*,否
鄭新助,1,男,1941,無黨籍及未經政黨推薦,14776,8.36%,*,是
鄭碧玉,6,女,1956,中國國民黨,5927,7.87%,*,是
鄭戴麗香,1,女,1954,中國國民黨,18779,17.21%,*,是
鄭雙銓,10,男,1962,中國國民黨,8627,9.77%,*,否
鄭寶川,10,男,1951,無黨籍及未經政黨推薦,7851,9.59%,*,是
魯明哲,18,男,1963,中國國民黨,26379,14.69%,*,否
黎旭欽,2,男,1943,中國國民黨,5556,20.70%,*,是
盧文信,10,男,1973,無黨籍及未經政黨推薦,7400,7.49%,*,是
盧文瑞,6,男,1957,無黨籍及未經政黨推薦,12508,14.17%,*,否
盧東文,1,男,1950,中國國民黨,5970,13.64%,*,是
盧盈宏,12,男,1963,無黨籍及未經政黨推薦,9823,6.64%,*,是
盧崑福,1,男,1965,中國國民黨,8561,34.69%,*,是
蕭文雄,2,男,1958,中國國民黨,7204,9.18%,*,否
蕭文龍,4,男,1952,中國國民黨,3816,8.13%,*,是
蕭永達,6,男,1965,民主進步黨,15255,11.37%,*,是
蕭如意,5,男,1955,中國國民黨,11328,19.41%,*,否
蕭志全,1,男,1963,中國國民黨,5720,18.04%,*,否
蕭志潔,2,女,1960,中國國民黨,4611,8.52%,*,是
蕭延青,6,男,1982,中國國民黨,7136,13.94%,*,否
蕭淑麗,13,女,1967,無黨籍及未經政黨推薦,7763,9.68%,*,否
蕭隆澤,6,男,1960,民主進步黨,20828,14.79%,*,是
蕭澤梧,8,男,1958,民主進步黨,7063,12.05%,*,否
賴江海,3,男,1958,中國國民黨,4901,24.90%,*,否
賴佳微,6,女,1982,民主進步黨,18571,24.11%,*,是
賴岸璋,19,男,1964,民主進步黨,8590,5.22%,*,是
賴明源,9,男,1964,無黨籍及未經政黨推薦,9490,16.77%,*,否
賴炳輝,8,男,1962,中國國民黨,7097,7.69%,*,否
賴秋媚,5,女,1963,民主進步黨,21927,7.18%,*,是
賴美惠,3,女,1958,民主進步黨,13950,32.70%,*,是
賴淑娞,6,女,1962,中國國民黨,7337,8.47%,*,是
賴清美,1,女,1961,民主進步黨,12761,16.27%,*,是
賴惠員,4,女,1961,民主進步黨,12647,18.97%,*,是
賴朝國,7,男,1963,中國國民黨,17881,12.70%,*,是
賴朝崙,7,男,1955,無黨籍及未經政黨推薦,7147,12.10%,*,是
賴進坤,2,男,1959,中國國民黨,3630,48.74%,*,是
賴順仁,6,男,1969,中國國民黨,18326,13.67%,*,是
賴源順,9,男,1953,無黨籍及未經政黨推薦,4828,6.98%,*,是
賴瑞鼎,6,男,1955,無黨籍及未經政黨推薦,5949,12.32%,*,否
賴義鍠,2,男,1967,無黨籍及未經政黨推薦,18594,19.55%,*,是
賴澤民,14,男,1984,民主進步黨,12208,11.24%,*,否
賴燕雪,12,女,1964,民主進步黨,8782,10.70%,*,是
賴瓊如,5,女,1968,無黨籍及未經政黨推薦,7285,12.34%,*,否
錢聖武,10,男,1957,民主進步黨,16678,15.34%,*,否
閻中傑,9,男,1956,中國國民黨,8680,16.16%,*,否
駱克銘,5,男,1946,中國國民黨,3320,24.55%,*,是
應曉薇,9,女,1964,中國國民黨,21092,10.83%,*,是
戴世詮,6,男,1968,無黨籍及未經政黨推薦,5796,11.27%,*,是
戴光宗,6,男,1976,民主進步黨,7352,12.16%,*,否
戴寧,15,女,1982,無黨籍及未經政黨推薦,5023,7.79%,*,是
戴錫欽,6,男,1966,中國國民黨,13862,5.75%,*,是
薛呈懿,3,女,1989,樹黨,3594,12.97%,*,否
謝文進,13,男,1954,無黨籍及未經政黨推薦,5464,10.10%,*,是
謝文禓,2,男,1975,無黨籍及未經政黨推薦,5932,7.87%,*,否
謝守男,5,男,1944,中國國民黨,3158,14.97%,*,是
謝希誠,10,男,1962,中國國民黨,3730,5.79%,*,是
謝志忠,3,男,1969,民主進步黨,21648,17.86%,*,是
謝典霖,1,男,1979,中國國民黨,14663,21.66%,*,是
謝承春,1,男,1961,無黨籍及未經政黨推薦,429,40.66%,*,是
謝明源,2,男,1952,民主進步黨,20416,15.23%,*,否
謝明謀,3,男,1950,中國國民黨,6888,21.72%,*,是
謝東龍,5,男,1970,中國國民黨,1764,10.81%,*,是
謝芳紋,6,女,1975,民主進步黨,4496,6.18%,*,是
謝彥慧,4,女,1974,中國國民黨,11488,16.71%,*,否
謝財旺,3,男,1962,無黨籍及未經政黨推薦,12286,36.47%,*,是
謝國榮,3,男,1958,中國國民黨,3829,9.08%,*,是
謝彰文,3,女,1958,中國國民黨,9995,10.09%,*,否
謝端容,12,女,1957,無黨籍及未經政黨推薦,6598,9.07%,*,是
謝維洲,1,男,1983,民主進步黨,21687,7.09%,*,否
謝賢裕,1,男,1960,中國國民黨,1304,52.79%,*,否
謝龍介,6,男,1961,中國國民黨,11354,17.82%,*,否
鍾小平,12,男,1962,中國國民黨,14987,7.70%,*,是
鍾宏仁,7,男,1957,民主進步黨,40858,13.38%,*,否
鍾明輝,2,男,1955,民主進步黨,5479,5.30%,*,否
鍾明馨,1,男,1966,無黨籍及未經政黨推薦,7781,8.98%,*,否
鍾東錦,8,男,1963,無黨籍及未經政黨推薦,7754,13.00%,*,否
鍾淑英,3,女,1956,中國國民黨,3705,5.75%,*,是
鍾盛有,5,男,1952,無黨籍及未經政黨推薦,14553,20.06%,*,是
韓良圻,5,男,1956,無黨籍及未經政黨推薦,7877,30.05%,*,是
韓茂賢,5,男,1953,中國國民黨,6097,22.71%,*,是
簡余晏,6,女,1967,民主進步黨,23190,12.34%,*,是
簡沛霖,7,男,1947,無黨籍及未經政黨推薦,5942,9.64%,*,是
簡峻庭,11,男,1953,無黨籍及未經政黨推薦,7374,11.43%,*,否
簡景賢,3,男,1959,中國國民黨,6612,10.25%,*,是
簡舒培,21,女,1977,民主進步黨,22672,7.35%,*,否
簡慈坊,5,女,1981,無黨籍及未經政黨推薦,7779,13.75%,*,是
簡煥宗,1,男,1973,民主進步黨,18257,19.14%,*,否
簡德旺,4,男,1948,民主進步黨,4357,33.64%,*,否
簡賜勝,12,男,1967,無黨籍及未經政黨推薦,6192,9.60%,*,否
藍俊逸,8,男,1946,中國國民黨,2585,8.25%,*,是
藍敏煌,4,男,1967,中國國民黨,6884,27.71%,*,是
闕枚莎,10,女,1972,中國國民黨,19956,9.11%,*,是
顏世雄,4,男,1956,民主進步黨,17996,45.06%,*,否
顏旭懋,8,男,1975,民主進步黨,6141,7.46%,*,否
顏炎釧,4,男,1964,無黨籍及未經政黨推薦,9322,13.12%,*,否
顏政德,6,男,1965,中國國民黨,3718,6.87%,*,否
顏若芳,6,女,1985,民主進步黨,26079,13.19%,*,否
顏莉敏,2,女,1984,中國國民黨,20120,15.46%,*,否
顏聖冠,13,女,1968,民主進步黨,23499,12.07%,*,是
顏嘉弘,5,男,1974,中國國民黨,2241,7.15%,*,否
顏蔡淑惠,4,女,1954,中國國民黨,8395,24.98%,*,是
顏曉菁,18,女,1974,民主進步黨,19874,11.25%,*,是
魏秀珍,5,女,1940,民主進步黨,4675,22.79%,*,是
魏長源,3,男,1951,無黨籍及未經政黨推薦,1883,36.61%,*,是
魏雪卿,1,女,1956,中國國民黨,10088,22.98%,*,是
魏嘉賢,1,男,1978,中國國民黨,4685,11.11%,*,是
_中傑,4,男,1956,中國國民黨,10608,24.17%,*,是
羅士洋,1,男,1959,民主進步黨,7989,14.79%,*,是
羅文崇,1,男,1964,民主進步黨,18015,16.85%,*,否
羅文熾,6,男,1954,無黨籍及未經政黨推薦,3675,5.70%,*,是
羅平道,2,男,1967,民主進步黨,7511,18.11%,*,否
羅永珍,2,女,1952,中國國民黨,17924,12.73%,*,是
羅吉祥,2,男,1957,中國國民黨,7085,16.04%,*,是
羅美玲,7,女,1969,無黨籍及未經政黨推薦,6081,7.41%,*,否
羅雪珠,3,女,1958,無黨籍及未經政黨推薦,6654,11.15%,*,是
羅鼎城,4,男,1976,民主進步黨,16870,9.55%,*,否
嚴永秋,3,男,1949,無黨籍及未經政黨推薦,6401,35.41%,*,是
蘇仁和,3,男,1954,民主進步黨,3440,12.58%,*,是
蘇文佐,7,男,1955,無黨籍及未經政黨推薦,2444,8.62%,*,是
蘇有仁,21,男,1949,無黨籍及未經政黨推薦,18672,6.55%,*,否
蘇明輝,6,男,1953,無黨籍及未經政黨推薦,3910,5.61%,*,是
蘇金煌,9,男,1945,中國國民黨,9118,17.49%,*,是
蘇俊豪,3,男,1975,無黨籍及未經政黨推薦,10641,16.15%,*,否
蘇柏興,11,男,1973,中國國民黨,15009,10.44%,*,否
蘇家明,13,男,1954,中國國民黨,12003,6.67%,*,否
蘇義峰,6,男,1957,民主進步黨,6473,6.26%,*,是
蘇慶雲,2,男,1952,中國國民黨,18258,31.72%,*,是
蘇澤峰,3,男,1984,無黨籍及未經政黨推薦,4171,5.20%,*,否
蘇麗華,2,女,1956,中國國民黨,15246,12.11%,*,否
鐘俊興,6,男,1950,中國國民黨,5884,11.96%,*,是
饒慶鈴,15,女,1969,中國國民黨,4877,10.90%,*,是
顧黃水花,23,女,1953,中國國民黨,9380,5.70%,*,是
龔文俊,3,男,1962,中國國民黨,4143,23.54%,*,否
